.imp,age,race_ethn,var,pop,m,q,p,lx,d,L,t,e,c,s,se
1,0,AI/AN,30721,383814,0.08004137420729833,0.0769613289426053,0.9230386710573947,100000,7696.132894260532,96151.93355286974,1383192.640402285,13.83192640402285,0,1,0
1,1,AI/AN,14297,383079,0.03732128359946643,0.036637602424226895,0.9633623975757731,92303.86710573947,3381.792385238761,90612.97091312008,1287040.706849415,13.943518805935128,0.07696132894260532,0.9230386710573947,9.727992542244479e-4
1,2,AI/AN,12331,383832,0.032126034306675835,0.031618151398406395,0.9683818486015936,88922.0747205007,2811.5516211731883,87516.29890991411,1196427.7359362952,13.454788810280228,0.1107792527949929,0.8892207472050071,9.371582219095881e-4
1,3,AI/AN,10952,383820,0.028534208743681934,0.02813283465537791,0.9718671653446221,86110.52309932752,2422.5331084414793,84899.25654510678,1108911.437026381,12.877769140332177,0.13889476900672482,0.8611052309932752,9.075270113649894e-4
1,4,AI/AN,10184,386840,0.026326129666011788,0.0259840992825286,0.9740159007174714,83687.98999088604,2174.5570406784536,82600.71147054681,1024012.1804812741,12.236070917616653,0.16312010009113964,0.8368798999088604,8.81995704008969e-4
1,5,AI/AN,9647,389391,0.024774583901528285,0.024471448919306624,0.9755285510806934,81513.43295020759,1994.7518106783245,80516.05704486842,941411.4690107275,11.549157420296455,0.18486567049792413,0.8151343295020759,8.590778400692362e-4
1,6,AI/AN,8931,391708,0.022800147048311497,0.02254315344161081,0.9774568465583892,79518.68113952926,1792.6018304029276,78622.38022432779,860895.411965859,10.826329104418486,0.20481318860470743,0.7951868113952926,8.380549605882735e-4
1,7,AI/AN,8024,392330,0.020452170366783064,0.02024514182196184,0.9797548581780382,77726.07930912633,1573.5754988783156,76939.29155968718,782273.0317415311,10.06448593181104,0.22273920690873672,0.7772607930912633,8.19162559019229e-4
1,8,AI/AN,7177,391084,0.018351556187417538,0.018184697439015896,0.9818153025609841,76152.50381024802,1384.8102410128631,75460.09868974159,705333.740181844,9.262121465360481,0.23847496189751982,0.7615250381024802,8.025784968366436e-4
1,9,AI/AN,6534,386306,0.01691405259043349,0.016772209573045357,0.9832277904269546,74767.69356923515,1254.01942583645,74140.68385631693,629873.6414921024,8.424409145493263,0.2523230643076485,0.7476769356923515,7.87983849700609e-4
1,10,AI/AN,5795,380848,0.015216044196109734,0.015101154280636518,0.9848988457193635,73513.6741433987,1110.1413349759096,72958.60347591076,555732.9576357855,7.55958621455582,0.264863258566013,0.735136741433987,7.747676194332553e-4
1,11,AI/AN,5459,377575,0.01445805469112097,0.014354287156738877,0.9856457128432611,72403.5328084228,1039.301101094461,71883.88225787556,482774.3541598748,6.667828701636408,0.275964671915772,0.724035328084228,7.630677340805523e-4
1,12,AI/AN,5248,376186,0.013950545740670839,0.013853910931601595,0.9861460890683984,71364.23170732833,988.6737097755104,70869.89485244057,410890.4719019992,5.757652847537139,0.2863576829267167,0.7136423170732833,7.521144407055179e-4
1,13,AI/AN,5287,374784,0.014106792178961748,0.014007988289141621,0.9859920117108584,70375.55799755282,985.8199922715285,69882.64800141705,340020.5770495585,4.831515184027132,0.2962444200244717,0.7037555799755283,7.416947142336123e-4
1,14,AI/AN,5081,374539,0.013566010482219474,0.013474612117603847,0.9865253878823962,69389.7380052813,934.999804563311,68922.23810299963,270137.9290481416,3.893053019274712,0.306102619947187,0.693897380052813,7.313050633625097e-4
1,15,AI/AN,4823,374139,0.01289093091070431,0.012808374972281275,0.9871916250277187,68454.73820071798,876.7939555041521,68016.34122296592,201215.690945142,2.9393975674138444,0.3154526179928202,0.6845473820071798,7.214510112940601e-4
1,16,AI/AN,4230,373648,0.011320815312807776,0.011257095562894696,0.9887429044371053,67577.94424521383,1304.359178834391,66925.76465579664,133199.34972217592,1.971047672578612,0.3242205575478617,0.6757794424521383,7.122103962172742e-4
1,17,AI/AN,3045,372738,0.008169277079342594,0.008136044279318817,0.9918639557206812,66273.58506637944,-0,66273.58506637944,66273.58506637944,1,0.33726414933620563,0.6627358506637944,6.984636304944759e-4
1,0,White,566142,10325493,0.05482953695286027,0.05336650653189254,0.9466334934681074,100000,5336.650653189252,97331.67467340537,1441870.798986972,14.41870798986972,0,1,0
1,1,White,300315,10369476,0.028961444146261586,0.028548047800334486,0.9714519521996655,94663.34934681075,2702.4538220925315,93312.12243576448,1344539.1243135666,14.203375790008055,0.053366506531892566,0.9466334934681074,1.7769198176176778e-4
1,2,White,278078,10384931,0.02677706765697336,0.026423298432055584,0.9735767015679444,91960.89552471822,2429.910186528694,90745.94043145387,1251227.001877802,13.606076743146591,0.08039104475281789,0.9196089552471821,1.7261922257269665e-4
1,3,White,259660,10409430,0.024944689574741365,0.024637403385057394,0.9753625966149426,89530.98533818952,2205.811001238646,88428.0798375702,1160481.0614463484,12.961781410791021,0.10469014661810472,0.8953098533818953,1.680580533395489e-4
1,4,White,246910,10509933,0.02349301370427385,0.02322025679867978,0.9767797432013202,87325.17433695088,2027.712973093483,86311.31785040413,1072052.9816087782,12.2765627409134,0.12674825663049127,0.8732517433695087,1.6391753928731491e-4
1,5,White,243773,10628735,0.02293527875142244,0.022675247193848284,0.9773247528061517,85297.4613638574,1934.1410214331845,84330.3908531408,985741.663758374,11.556518189368491,0.14702538636142604,0.852974613638574,1.6011133193125578e-4
1,6,White,232971,10737176,0.02169760465880414,0.021464737959627726,0.9785352620403722,83363.32034242421,1789.3718265946518,82468.63442912689,901411.2729052332,10.813044264582853,0.16636679657575792,0.8336332034242421,1.5648076790117827e-4
1,7,White,216978,10859989,0.019979578248191597,0.019781960633006693,0.9802180393669933,81573.94851582956,1613.6926382190431,80767.10219672004,818942.6384761063,10.039266866151381,0.18426051484170447,0.8157394851582955,1.531219492224581e-4
1,8,White,203687,11006202,0.018506565661796866,0.018336889239425603,0.9816631107605744,79960.25587761051,1466.2223555838718,79227.14469981857,738175.5362793863,9.231780566201028,0.2003974412238949,0.7996025587761051,1.5009289685089024e-4
1,9,White,189804,11080114,0.01713014866092533,0.01698467366847618,0.9830153263315238,78494.03352202664,1333.195544294067,77827.4357498796,658948.3915795677,8.394885088873112,0.2150596647797336,0.7849403352202664,1.4734066002571093e-4
1,10,White,178937,11127515,0.016080589421807116,0.015952328003335303,0.9840476719966647,77160.83797773258,1230.8949964330095,76545.39047951606,581120.9558296881,7.531293996539937,0.22839162022267423,0.7716083797773258,1.4483812699707632e-4
1,11,White,169549,11232438,0.015094585877082073,0.014981515987262765,0.9850184840127373,75929.94298129957,1137.5456546862697,75361.17015395642,504575.565350172,6.645277811869839,0.2407005701870043,0.7592994298129957,1.4252762168783022e-4
1,12,White,169214,11371158,0.014880982218345749,0.014771078142751708,0.9852289218572483,74792.3973266133,1104.764345395146,74240.01515391572,429214.3951962156,5.738743649596705,0.2520760267338671,0.7479239732661329,1.4039234184488747e-4
1,13,White,171313,11461509,0.014946810232404826,0.014835935277796097,0.9851640647222039,73687.63298121815,1093.2249536833406,73141.02050437647,354974.3800423,4.817285692061482,0.26312367018781846,0.7368763298121815,1.3831859559285272e-4
1,14,White,169922,11562660,0.014695753399304312,0.014588558470437869,0.9854114415295622,72594.40802753481,1059.0477661365294,72064.88414446654,281833.3595379234,3.8823012294696997,0.27405591972465193,0.7259440802753481,1.362665098609215e-4
1,15,White,165574,11682227,0.014173153800212921,0.014073421417093085,0.9859265785829069,71535.36026139828,1006.7472711822193,71031.98662580717,209768.47539345693,2.93237462741418,0.28464639738601716,0.7153536026139828,1.3427857791425293e-4
1,16,White,149970,11766632,0.012745363329115756,0.012664655511151895,0.9873353444888481,70528.61299021606,1547.1581418548885,69755.03391928862,138736.4887676498,1.9670950963816025,0.29471387009783934,0.7052861299021607,1.3238881889997772e-4
1,17,White,111847,11854250,0.009435181474998418,0.00939087915050104,0.9906091208494989,68981.45484836117,-0,68981.45484836117,68981.45484836117,1,0.3101854515163883,0.6898145484836117,1.294846580159395e-4
